id	team	year	stats_league	is_pitcher	is_new	is_foreign	games_played	plate_appearances	singles	doubles	triples	home_runs	strikeouts	bases_on_balls	runs
1520	chu	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
1515	rak	2009	jindust	true	true	false	0	0	0	0	0	0	0	0	0
2678	orx	2009	npb	false	false	false	21	50	7	2	1	0	8	3	4
1532	lot	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
2385	lot	2009	npb	false	false	false	105	370	68	9	0	1	49	50	39
2034	yom	2009	npb	false	false	false	83	182	23	8	0	3	32	8	16
2193	yom	2009	npb	true	false	false	39	123	28	0	0	2	21	8	13
1519	yom	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
3026	han	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
1987	rak	2009	mlb	true	true	false	0	0	0	0	0	0	0	0	0
2978	yak	2009	npb	false	false	false	105	287	35	7	1	7	59	34	22
2823	nip	2009	npb	true	false	false	19	488	104	0	0	11	76	41	46
2898	han	2009	npb	false	false	false	58	89	17	1	1	0	14	6	12
2237	yak	2009	npb	false	false	false	131	532	117	22	7	9	90	29	74
3544	yok	2009	npb	false	false	false	46	120	20	5	0	1	13	2	11
2891	han	2009	npb	true	false	false	6	48	9	0	0	2	7	2	7
1516	sei	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
1506	chu	2009	npb	false	false	false	40	39	3	1	0	2	9	1	10
1512	yom	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
2675	han	2009	npb	true	false	false	8	145	34	0	0	4	17	12	13
1504	yok	2009	jindust	true	true	false	0	0	0	0	0	0	0	0	0
2702	rak	2009	npb	false	false	false	90	223	43	7	0	0	25	18	15
1514	sft	2009	npb	true	false	false	11	31	7	0	0	0	4	1	4
2673	han	2009	npb	true	false	false	63	249	32	0	0	2	90	13	6
3665	rak	2009	npb	true	false	true	19	89	19	0	0	2	16	7	12
3589	yak	2009	npb	false	false	true	79	265	23	11	0	11	56	25	27
3559	sei	2009	npb	true	false	true	55	226	44	0	0	3	42	13	12
3607	yom	2009	npb	true	false	true	31	842	181	0	0	20	167	31	75
3440	yom	2009	npb	true	false	true	8	193	54	0	0	4	36	9	25
3160	sei	2009	npb	false	false	false	49	184	24	14	0	12	31	16	34
3061	orx	2009	npb	false	false	false	115	447	71	32	0	14	88	16	52
3678	sft	2009	unknown	true	true	true	0	0	0	0	0	0	0	0	0
3571	yok	2009	npb	true	false	true	26	699	142	0	0	18	99	61	74
2771	lot	2009	npb	false	false	false	40	66	6	1	0	2	18	2	8
3490	rak	2009	npb	false	false	false	6	15	2	1	0	0	1	1	2
1606	orx	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
2672	hir	2009	npb	true	false	false	10	55	11	0	0	2	10	6	7
3013	chu	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
1596	chu	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
1599	rak	2009	npb	false	false	false	34	49	11	0	0	0	10	5	7
2872	hir	2009	npb	false	false	false	16	30	2	1	0	0	8	2	1
1592	yak	2009	jhs	true	true	false	0	0	0	0	0	0	0	0	0
3419	hir	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
2907	han	2009	npb	false	false	false	115	452	85	7	3	1	62	35	46
1604	sei	2009	npb	true	false	false	11	128	35	0	0	6	21	11	29
1608	chu	2009	npb	false	false	false	59	111	22	3	0	1	25	6	9
2062	chu	2009	npb	true	false	false	37	128	32	1	0	3	23	6	16
2665	hir	2009	npb	false	false	false	138	576	149	12	1	0	63	24	76
2347	orx	2009	npb	false	false	false	134	474	71	27	1	13	67	28	44
1915	han	2009	npb	false	false	false	94	121	23	8	2	0	26	9	7
1923	sei	2009	npb	false	false	false	55	103	18	4	0	2	23	3	15
3656	sft	2009	npb	true	false	true	28	366	72	0	0	10	86	31	44
2684	sei	2009	npb	true	false	false	63	140	22	0	0	0	23	15	9
3846	lot	2009	npb	false	false	false	41	104	16	3	0	0	17	6	5
2905	sei	2009	npb	false	false	false	133	445	59	20	1	16	129	12	42
1634	yok	2009	juniv	false	true	false	0	0	0	0	0	0	0	0	0
3449	sei	2009	npb	false	false	false	3	7	0	0	0	0	3	0	0
1632	nip	2009	npb	true	false	false	23	107	26	0	0	5	11	6	17
192	han	2009	juniv	true	true	false	0	0	0	0	0	0	0	0	0
2750	sei	2009	npb	true	false	true	17	151	36	0	0	1	11	22	21
2941	sei	2009	npb	true	false	false	27	724	156	0	0	13	115	38	59
3515	yom	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
1633	lot	2009	npb	false	false	false	20	50	6	2	0	0	15	1	4
1616	sft	2009	npb	false	false	false	107	489	112	14	3	3	75	23	53
3839	sft	2009	npb	false	false	false	61	103	17	3	1	2	28	1	11
1570	sei	2009	npb	false	false	false	3	7	2	1	0	0	2	1	1
3921	yom	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
2587	orx	2009	npb	false	false	false	85	247	33	11	2	9	50	25	25
2824	yak	2009	npb	true	false	false	23	105	27	0	0	3	15	5	12
2352	yak	2009	npb	true	false	false	25	144	39	0	0	5	16	9	23
2216	hir	2009	npb	true	false	false	14	272	66	0	0	14	28	22	47
1580	han	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
3519	han	2009	npb	true	false	false	10	59	15	0	0	2	15	6	8
1575	rak	2009	npb	true	false	false	13	181	50	0	0	6	23	22	41
1577	sft	2009	npb	false	false	false	71	245	34	13	1	4	47	18	28
1584	lot	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
1579	yom	2009	jhs	false	true	false	0	0	0	0	0	0	0	0	0
3873	lot	2009	npb	false	false	false	93	329	47	28	1	11	58	45	34
3461	yak	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
2993	yok	2009	npb	true	false	false	2	16	4	0	0	3	3	1	7
2928	yak	2009	npb	false	false	false	121	479	83	22	2	9	84	53	43
3064	lot	2009	npb	false	false	false	133	416	69	14	4	5	60	18	53
3188	lot	2009	npb	false	false	false	17	25	2	0	0	0	9	0	2
2609	hir	2009	npb	true	false	false	17	76	16	0	0	4	13	6	9
2988	nip	2009	npb	true	false	false	11	62	12	0	0	3	14	12	12
1583	lot	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
1666	nip	2009	npb	false	false	false	1	1	0	0	0	0	0	0	0
